"date","usage","dollars","type"
"12:00AM 20th June 2025","0.29 kWh","$0.14","actual"
"01:00AM 20th June 2025","0.30 kWh","$0.15","actual"
"02:00AM 20th June 2025","0.15 kWh","$0.10","actual"
"03:00AM 20th June 2025","0.27 kWh","$0.14","actual"
"04:00AM 20th June 2025","0.28 kWh","$0.14","actual"
"05:00AM 20th June 2025","0.32 kWh","$0.15","actual"
"06:00AM 20th June 2025","0.45 kWh","$0.20","actual"
"07:00AM 20th June 2025","0.17 kWh","$0.10","actual"
"08:00AM 20th June 2025","0.28 kWh","$0.14","actual"
"09:00AM 20th June 2025","0.13 kWh","$0.09","actual"
"10:00AM 20th June 2025","0.39 kWh","$0.18","actual"
"11:00AM 20th June 2025","0.36 kWh","$0.17","actual"
"12:00PM 20th June 2025","0.18 kWh","$0.11","actual"
"01:00PM 20th June 2025","0.42 kWh","$0.19","actual"
"02:00PM 20th June 2025","1.63 kWh","$0.62","actual"
"03:00PM 20th June 2025","0.55 kWh","$0.24","actual"
"04:00PM 20th June 2025","1.04 kWh","$0.41","actual"
"05:00PM 20th June 2025","0.49 kWh","$0.21","actual"
"06:00PM 20th June 2025","0.57 kWh","$0.24","actual"
"07:00PM 20th June 2025","0.46 kWh","$0.20","actual"
"08:00PM 20th June 2025","0.37 kWh","$0.17","actual"
"09:00PM 20th June 2025","0.38 kWh","$0.18","actual"
"10:00PM 20th June 2025","0.22 kWh","$0.12","actual"
"11:00PM 20th June 2025","0.33 kWh","$0.16","actual"
