"date","usage","dollars","type"
"12:00AM 7th June 2025","0.18 kWh","$0.11","actual"
"01:00AM 7th June 2025","0.31 kWh","$0.15","actual"
"02:00AM 7th June 2025","0.17 kWh","$0.10","actual"
"03:00AM 7th June 2025","0.29 kWh","$0.14","actual"
"04:00AM 7th June 2025","0.16 kWh","$0.10","actual"
"05:00AM 7th June 2025","0.48 kWh","$0.21","actual"
"06:00AM 7th June 2025","0.34 kWh","$0.16","actual"
"07:00AM 7th June 2025","0.57 kWh","$0.24","actual"
"08:00AM 7th June 2025","0.38 kWh","$0.18","actual"
"09:00AM 7th June 2025","0.13 kWh","$0.09","actual"
"10:00AM 7th June 2025","0.41 kWh","$0.19","actual"
"11:00AM 7th June 2025","0.33 kWh","$0.16","actual"
"12:00PM 7th June 2025","0.48 kWh","$0.21","actual"
"01:00PM 7th June 2025","0.83 kWh","$0.34","actual"
"02:00PM 7th June 2025","1.11 kWh","$0.43","actual"
"03:00PM 7th June 2025","1.19 kWh","$0.46","actual"
"04:00PM 7th June 2025","1.60 kWh","$0.61","actual"
"05:00PM 7th June 2025","0.80 kWh","$0.33","actual"
"06:00PM 7th June 2025","0.38 kWh","$0.18","actual"
"07:00PM 7th June 2025","0.52 kWh","$0.23","actual"
"08:00PM 7th June 2025","0.30 kWh","$0.15","actual"
"09:00PM 7th June 2025","0.62 kWh","$0.26","actual"
"10:00PM 7th June 2025","0.52 kWh","$0.23","actual"
"11:00PM 7th June 2025","0.40 kWh","$0.18","actual"
