"date","usage","dollars","type"
"12:00AM 26th June 2025","0.20 kWh","$0.12","actual"
"01:00AM 26th June 2025","0.33 kWh","$0.16","actual"
"02:00AM 26th June 2025","0.34 kWh","$0.16","actual"
"03:00AM 26th June 2025","0.25 kWh","$0.13","actual"
"04:00AM 26th June 2025","0.53 kWh","$0.23","actual"
"05:00AM 26th June 2025","0.39 kWh","$0.18","actual"
"06:00AM 26th June 2025","0.42 kWh","$0.19","actual"
"07:00AM 26th June 2025","0.58 kWh","$0.25","actual"
"08:00AM 26th June 2025","0.55 kWh","$0.24","actual"
"09:00AM 26th June 2025","0.67 kWh","$0.28","actual"
"10:00AM 26th June 2025","0.51 kWh","$0.22","actual"
"11:00AM 26th June 2025","0.87 kWh","$0.35","actual"
"12:00PM 26th June 2025","0.86 kWh","$0.35","actual"
"01:00PM 26th June 2025","0.91 kWh","$0.36","actual"
"02:00PM 26th June 2025","0.59 kWh","$0.25","actual"
"03:00PM 26th June 2025","0.49 kWh","$0.22","actual"
"04:00PM 26th June 2025","1.18 kWh","$0.46","actual"
"05:00PM 26th June 2025","0.78 kWh","$0.32","actual"
"06:00PM 26th June 2025","0.78 kWh","$0.32","actual"
"07:00PM 26th June 2025","0.64 kWh","$0.27","actual"
"08:00PM 26th June 2025","0.78 kWh","$0.32","actual"
"09:00PM 26th June 2025","0.92 kWh","$0.37","actual"
"10:00PM 26th June 2025","0.73 kWh","$0.30","actual"
"11:00PM 26th June 2025","0.47 kWh","$0.21","actual"
