"date","usage","dollars","type"
"12:00AM 26th May 2025","0.00 kWh","$0.08","actual"
"01:00AM 26th May 2025","0.00 kWh","$0.08","actual"
"02:00AM 26th May 2025","0.00 kWh","$0.08","actual"
"03:00AM 26th May 2025","0.00 kWh","$0.08","actual"
"04:00AM 26th May 2025","0.00 kWh","$0.08","actual"
"05:00AM 26th May 2025","0.09 kWh","$0.09","actual"
"06:00AM 26th May 2025","2.74 kWh","$0.57","actual"
"07:00AM 26th May 2025","3.77 kWh","$0.76","actual"
"08:00AM 26th May 2025","0.00 kWh","$0.08","actual"
"09:00AM 26th May 2025","0.00 kWh","$0.08","actual"
"10:00AM 26th May 2025","0.00 kWh","$0.08","actual"
"11:00AM 26th May 2025","0.00 kWh","$0.08","actual"
"12:00PM 26th May 2025","8.03 kWh","$1.54","actual"
"01:00PM 26th May 2025","0.00 kWh","$0.08","actual"
"02:00PM 26th May 2025","0.00 kWh","$0.08","actual"
"03:00PM 26th May 2025","0.00 kWh","$0.08","actual"
"04:00PM 26th May 2025","0.00 kWh","$0.08","actual"
"05:00PM 26th May 2025","0.00 kWh","$0.08","actual"
"06:00PM 26th May 2025","0.00 kWh","$0.08","actual"
"07:00PM 26th May 2025","0.00 kWh","$0.08","actual"
"08:00PM 26th May 2025","0.00 kWh","$0.08","actual"
"09:00PM 26th May 2025","0.00 kWh","$0.08","actual"
"10:00PM 26th May 2025","0.00 kWh","$0.08","actual"
"11:00PM 26th May 2025","0.00 kWh","$0.08","actual"
