"date","usage","dollars","type"
"12:00AM 30th July 2025","0.51 kWh","$0.22","actual"
"01:00AM 30th July 2025","0.55 kWh","$0.24","actual"
"02:00AM 30th July 2025","0.14 kWh","$0.09","actual"
"03:00AM 30th July 2025","0.19 kWh","$0.11","actual"
"04:00AM 30th July 2025","0.21 kWh","$0.12","actual"
"05:00AM 30th July 2025","0.14 kWh","$0.09","actual"
"06:00AM 30th July 2025","0.28 kWh","$0.14","actual"
"07:00AM 30th July 2025","0.26 kWh","$0.14","actual"
"08:00AM 30th July 2025","0.10 kWh","$0.08","actual"
"09:00AM 30th July 2025","0.37 kWh","$0.17","actual"
"10:00AM 30th July 2025","0.27 kWh","$0.14","actual"
"11:00AM 30th July 2025","0.26 kWh","$0.13","actual"
"12:00PM 30th July 2025","0.18 kWh","$0.10","actual"
"01:00PM 30th July 2025","0.48 kWh","$0.21","actual"
"02:00PM 30th July 2025","0.16 kWh","$0.10","actual"
"03:00PM 30th July 2025","0.17 kWh","$0.10","actual"
"04:00PM 30th July 2025","0.29 kWh","$0.14","actual"
"05:00PM 30th July 2025","0.18 kWh","$0.11","actual"
"06:00PM 30th July 2025","0.28 kWh","$0.14","actual"
"07:00PM 30th July 2025","0.17 kWh","$0.10","actual"
"08:00PM 30th July 2025","0.23 kWh","$0.12","actual"
"09:00PM 30th July 2025","0.26 kWh","$0.13","actual"
"10:00PM 30th July 2025","0.15 kWh","$0.10","actual"
"11:00PM 30th July 2025","0.23 kWh","$0.13","actual"
