"date","usage","dollars","type"
"12:00AM 15th June 2025","0.26 kWh","$0.13","actual"
"01:00AM 15th June 2025","0.33 kWh","$0.16","actual"
"02:00AM 15th June 2025","0.23 kWh","$0.12","actual"
"03:00AM 15th June 2025","0.34 kWh","$0.16","actual"
"04:00AM 15th June 2025","0.22 kWh","$0.12","actual"
"05:00AM 15th June 2025","0.32 kWh","$0.16","actual"
"06:00AM 15th June 2025","0.34 kWh","$0.16","actual"
"07:00AM 15th June 2025","0.83 kWh","$0.34","actual"
"08:00AM 15th June 2025","0.43 kWh","$0.19","actual"
"09:00AM 15th June 2025","0.91 kWh","$0.36","actual"
"10:00AM 15th June 2025","0.37 kWh","$0.17","actual"
"11:00AM 15th June 2025","0.33 kWh","$0.16","actual"
"12:00PM 15th June 2025","0.30 kWh","$0.15","actual"
"01:00PM 15th June 2025","0.29 kWh","$0.14","actual"
"02:00PM 15th June 2025","0.27 kWh","$0.14","actual"
"03:00PM 15th June 2025","0.33 kWh","$0.16","actual"
"04:00PM 15th June 2025","4.80 kWh","$1.73","powerShout"
"05:00PM 15th June 2025","1.67 kWh","$0.63","powerShout"
"06:00PM 15th June 2025","0.44 kWh","$0.20","actual"
"07:00PM 15th June 2025","0.29 kWh","$0.14","actual"
"08:00PM 15th June 2025","0.58 kWh","$0.25","actual"
"09:00PM 15th June 2025","0.43 kWh","$0.19","actual"
"10:00PM 15th June 2025","0.55 kWh","$0.24","actual"
"11:00PM 15th June 2025","0.43 kWh","$0.19","actual"
