"date","usage","dollars","type"
"12:00AM 13th June 2025","0.22 kWh","$0.12","actual"
"01:00AM 13th June 2025","0.14 kWh","$0.09","actual"
"02:00AM 13th June 2025","0.09 kWh","$0.08","actual"
"03:00AM 13th June 2025","0.17 kWh","$0.10","actual"
"04:00AM 13th June 2025","0.15 kWh","$0.09","actual"
"05:00AM 13th June 2025","0.28 kWh","$0.14","actual"
"06:00AM 13th June 2025","0.36 kWh","$0.17","actual"
"07:00AM 13th June 2025","0.20 kWh","$0.11","actual"
"08:00AM 13th June 2025","0.25 kWh","$0.13","actual"
"09:00AM 13th June 2025","0.17 kWh","$0.10","actual"
"10:00AM 13th June 2025","0.36 kWh","$0.17","actual"
"11:00AM 13th June 2025","0.47 kWh","$0.21","actual"
"12:00PM 13th June 2025","0.32 kWh","$0.16","actual"
"01:00PM 13th June 2025","0.21 kWh","$0.12","actual"
"02:00PM 13th June 2025","0.21 kWh","$0.12","actual"
"03:00PM 13th June 2025","0.29 kWh","$0.15","actual"
"04:00PM 13th June 2025","0.39 kWh","$0.18","actual"
"05:00PM 13th June 2025","0.63 kWh","$0.27","actual"
"06:00PM 13th June 2025","0.44 kWh","$0.20","actual"
"07:00PM 13th June 2025","0.58 kWh","$0.25","actual"
"08:00PM 13th June 2025","0.89 kWh","$0.36","actual"
"09:00PM 13th June 2025","0.95 kWh","$0.38","actual"
"10:00PM 13th June 2025","0.45 kWh","$0.20","actual"
"11:00PM 13th June 2025","0.42 kWh","$0.19","actual"
