"date","usage","dollars","type"
"12:00AM 5th June 2025","0.58 kWh","$0.25","actual"
"01:00AM 5th June 2025","0.56 kWh","$0.24","actual"
"02:00AM 5th June 2025","0.56 kWh","$0.24","actual"
"03:00AM 5th June 2025","0.42 kWh","$0.19","actual"
"04:00AM 5th June 2025","0.59 kWh","$0.25","actual"
"05:00AM 5th June 2025","0.41 kWh","$0.19","actual"
"06:00AM 5th June 2025","0.61 kWh","$0.26","actual"
"07:00AM 5th June 2025","0.15 kWh","$0.10","actual"
"08:00AM 5th June 2025","0.52 kWh","$0.23","actual"
"09:00AM 5th June 2025","0.53 kWh","$0.23","actual"
"10:00AM 5th June 2025","0.73 kWh","$0.30","actual"
"11:00AM 5th June 2025","0.84 kWh","$0.34","actual"
"12:00PM 5th June 2025","0.48 kWh","$0.21","actual"
"01:00PM 5th June 2025","0.34 kWh","$0.16","actual"
"02:00PM 5th June 2025","0.13 kWh","$0.09","actual"
"03:00PM 5th June 2025","0.14 kWh","$0.09","actual"
"04:00PM 5th June 2025","1.48 kWh","$0.56","actual"
"05:00PM 5th June 2025","0.78 kWh","$0.32","actual"
"06:00PM 5th June 2025","0.78 kWh","$0.32","actual"
"07:00PM 5th June 2025","0.60 kWh","$0.25","actual"
"08:00PM 5th June 2025","0.81 kWh","$0.33","actual"
"09:00PM 5th June 2025","0.78 kWh","$0.32","actual"
"10:00PM 5th June 2025","1.03 kWh","$0.41","actual"
"11:00PM 5th June 2025","0.38 kWh","$0.18","actual"
