"date","usage","dollars","type"
"12:00AM 22nd June 2025","0.24 kWh","$0.13","actual"
"01:00AM 22nd June 2025","0.23 kWh","$0.12","actual"
"02:00AM 22nd June 2025","0.24 kWh","$0.13","actual"
"03:00AM 22nd June 2025","0.18 kWh","$0.10","actual"
"04:00AM 22nd June 2025","0.43 kWh","$0.19","actual"
"05:00AM 22nd June 2025","0.60 kWh","$0.25","actual"
"06:00AM 22nd June 2025","0.43 kWh","$0.19","actual"
"07:00AM 22nd June 2025","0.44 kWh","$0.20","actual"
"08:00AM 22nd June 2025","0.45 kWh","$0.20","actual"
"09:00AM 22nd June 2025","0.83 kWh","$0.33","actual"
"10:00AM 22nd June 2025","2.30 kWh","$0.85","powerShout"
"11:00AM 22nd June 2025","0.22 kWh","$0.12","actual"
"12:00PM 22nd June 2025","0.56 kWh","$0.24","actual"
"01:00PM 22nd June 2025","0.86 kWh","$0.34","actual"
"02:00PM 22nd June 2025","0.34 kWh","$0.16","actual"
"03:00PM 22nd June 2025","0.20 kWh","$0.11","actual"
"04:00PM 22nd June 2025","3.53 kWh","$1.28","powerShout"
"05:00PM 22nd June 2025","0.85 kWh","$0.34","actual"
"06:00PM 22nd June 2025","0.68 kWh","$0.28","actual"
"07:00PM 22nd June 2025","0.28 kWh","$0.14","actual"
"08:00PM 22nd June 2025","0.36 kWh","$0.17","actual"
"09:00PM 22nd June 2025","0.25 kWh","$0.13","actual"
"10:00PM 22nd June 2025","0.37 kWh","$0.17","actual"
"11:00PM 22nd June 2025","0.25 kWh","$0.13","actual"
