"date","usage","dollars","type"
"12:00AM 14th June 2025","0.41 kWh","$0.19","actual"
"01:00AM 14th June 2025","0.38 kWh","$0.17","actual"
"02:00AM 14th June 2025","0.34 kWh","$0.16","actual"
"03:00AM 14th June 2025","0.38 kWh","$0.18","actual"
"04:00AM 14th June 2025","0.35 kWh","$0.17","actual"
"05:00AM 14th June 2025","0.43 kWh","$0.20","actual"
"06:00AM 14th June 2025","0.70 kWh","$0.29","actual"
"07:00AM 14th June 2025","0.32 kWh","$0.16","actual"
"08:00AM 14th June 2025","0.33 kWh","$0.16","actual"
"09:00AM 14th June 2025","0.17 kWh","$0.10","actual"
"10:00AM 14th June 2025","0.42 kWh","$0.19","actual"
"11:00AM 14th June 2025","1.05 kWh","$0.41","actual"
"12:00PM 14th June 2025","0.47 kWh","$0.21","actual"
"01:00PM 14th June 2025","0.47 kWh","$0.21","actual"
"02:00PM 14th June 2025","0.30 kWh","$0.15","actual"
"03:00PM 14th June 2025","0.91 kWh","$0.36","actual"
"04:00PM 14th June 2025","0.54 kWh","$0.23","actual"
"05:00PM 14th June 2025","0.81 kWh","$0.33","actual"
"06:00PM 14th June 2025","1.14 kWh","$0.44","actual"
"07:00PM 14th June 2025","0.68 kWh","$0.28","actual"
"08:00PM 14th June 2025","0.44 kWh","$0.20","actual"
"09:00PM 14th June 2025","0.35 kWh","$0.17","actual"
"10:00PM 14th June 2025","0.22 kWh","$0.12","actual"
"11:00PM 14th June 2025","0.35 kWh","$0.17","actual"
