"date","usage","dollars","type"
"12:00AM 15th July 2025","0.18 kWh","$0.11","actual"
"01:00AM 15th July 2025","0.20 kWh","$0.12","actual"
"02:00AM 15th July 2025","0.19 kWh","$0.11","actual"
"03:00AM 15th July 2025","0.18 kWh","$0.11","actual"
"04:00AM 15th July 2025","0.19 kWh","$0.11","actual"
"05:00AM 15th July 2025","0.54 kWh","$0.23","actual"
"06:00AM 15th July 2025","0.18 kWh","$0.11","actual"
"07:00AM 15th July 2025","0.31 kWh","$0.15","actual"
"08:00AM 15th July 2025","0.13 kWh","$0.09","actual"
"09:00AM 15th July 2025","0.55 kWh","$0.23","actual"
"10:00AM 15th July 2025","0.21 kWh","$0.12","actual"
"11:00AM 15th July 2025","0.22 kWh","$0.12","actual"
"12:00PM 15th July 2025","1.11 kWh","$0.43","actual"
"01:00PM 15th July 2025","1.14 kWh","$0.44","actual"
"02:00PM 15th July 2025","0.61 kWh","$0.26","actual"
"03:00PM 15th July 2025","0.29 kWh","$0.14","actual"
"04:00PM 15th July 2025","0.63 kWh","$0.26","actual"
"05:00PM 15th July 2025","1.20 kWh","$0.46","actual"
"06:00PM 15th July 2025","0.39 kWh","$0.18","actual"
"07:00PM 15th July 2025","0.68 kWh","$0.28","actual"
"08:00PM 15th July 2025","0.31 kWh","$0.15","actual"
"09:00PM 15th July 2025","0.57 kWh","$0.24","actual"
"10:00PM 15th July 2025","0.18 kWh","$0.11","actual"
"11:00PM 15th July 2025","0.24 kWh","$0.13","actual"
