"date","usage","dollars","type"
"12:00AM 4th June 2025","0.36 kWh","$0.17","actual"
"01:00AM 4th June 2025","0.17 kWh","$0.10","actual"
"02:00AM 4th June 2025","0.31 kWh","$0.15","actual"
"03:00AM 4th June 2025","0.30 kWh","$0.15","actual"
"04:00AM 4th June 2025","0.29 kWh","$0.14","actual"
"05:00AM 4th June 2025","0.53 kWh","$0.23","actual"
"06:00AM 4th June 2025","0.18 kWh","$0.11","actual"
"07:00AM 4th June 2025","0.36 kWh","$0.17","actual"
"08:00AM 4th June 2025","0.21 kWh","$0.12","actual"
"09:00AM 4th June 2025","0.55 kWh","$0.24","actual"
"10:00AM 4th June 2025","0.67 kWh","$0.28","actual"
"11:00AM 4th June 2025","0.64 kWh","$0.27","actual"
"12:00PM 4th June 2025","0.78 kWh","$0.32","actual"
"01:00PM 4th June 2025","0.65 kWh","$0.27","actual"
"02:00PM 4th June 2025","0.76 kWh","$0.31","actual"
"03:00PM 4th June 2025","0.67 kWh","$0.28","actual"
"04:00PM 4th June 2025","0.74 kWh","$0.30","actual"
"05:00PM 4th June 2025","0.90 kWh","$0.36","actual"
"06:00PM 4th June 2025","0.85 kWh","$0.34","actual"
"07:00PM 4th June 2025","0.66 kWh","$0.27","actual"
"08:00PM 4th June 2025","0.65 kWh","$0.27","actual"
"09:00PM 4th June 2025","1.05 kWh","$0.41","actual"
"10:00PM 4th June 2025","1.06 kWh","$0.42","actual"
"11:00PM 4th June 2025","0.55 kWh","$0.24","actual"
