"date","usage","dollars","type"
"12:00AM 12th June 2025","0.22 kWh","$0.12","actual"
"01:00AM 12th June 2025","0.29 kWh","$0.14","actual"
"02:00AM 12th June 2025","0.32 kWh","$0.16","actual"
"03:00AM 12th June 2025","0.14 kWh","$0.09","actual"
"04:00AM 12th June 2025","0.36 kWh","$0.17","actual"
"05:00AM 12th June 2025","0.44 kWh","$0.20","actual"
"06:00AM 12th June 2025","0.31 kWh","$0.15","actual"
"07:00AM 12th June 2025","0.34 kWh","$0.16","actual"
"08:00AM 12th June 2025","0.18 kWh","$0.11","actual"
"09:00AM 12th June 2025","0.15 kWh","$0.10","actual"
"10:00AM 12th June 2025","0.33 kWh","$0.16","actual"
"11:00AM 12th June 2025","0.34 kWh","$0.16","actual"
"12:00PM 12th June 2025","0.22 kWh","$0.12","actual"
"01:00PM 12th June 2025","0.30 kWh","$0.15","actual"
"02:00PM 12th June 2025","0.56 kWh","$0.24","actual"
"03:00PM 12th June 2025","1.49 kWh","$0.57","actual"
"04:00PM 12th June 2025","1.31 kWh","$0.50","actual"
"05:00PM 12th June 2025","1.59 kWh","$0.60","actual"
"06:00PM 12th June 2025","0.54 kWh","$0.23","actual"
"07:00PM 12th June 2025","0.48 kWh","$0.21","actual"
"08:00PM 12th June 2025","0.37 kWh","$0.17","actual"
"09:00PM 12th June 2025","0.55 kWh","$0.24","actual"
"10:00PM 12th June 2025","0.77 kWh","$0.31","actual"
"11:00PM 12th June 2025","0.14 kWh","$0.09","actual"
