"date","usage","dollars","type"
"12:00AM 8th June 2025","0.21 kWh","$0.12","actual"
"01:00AM 8th June 2025","0.19 kWh","$0.11","actual"
"02:00AM 8th June 2025","0.19 kWh","$0.11","actual"
"03:00AM 8th June 2025","0.28 kWh","$0.14","actual"
"04:00AM 8th June 2025","0.19 kWh","$0.11","actual"
"05:00AM 8th June 2025","0.31 kWh","$0.15","actual"
"06:00AM 8th June 2025","0.48 kWh","$0.21","actual"
"07:00AM 8th June 2025","0.34 kWh","$0.16","actual"
"08:00AM 8th June 2025","0.51 kWh","$0.22","actual"
"09:00AM 8th June 2025","0.56 kWh","$0.24","actual"
"10:00AM 8th June 2025","1.11 kWh","$0.43","actual"
"11:00AM 8th June 2025","1.00 kWh","$0.40","actual"
"12:00PM 8th June 2025","0.79 kWh","$0.32","actual"
"01:00PM 8th June 2025","0.59 kWh","$0.25","actual"
"02:00PM 8th June 2025","0.68 kWh","$0.28","actual"
"03:00PM 8th June 2025","0.68 kWh","$0.28","actual"
"04:00PM 8th June 2025","1.77 kWh","$0.67","actual"
"05:00PM 8th June 2025","2.26 kWh","$0.84","actual"
"06:00PM 8th June 2025","1.18 kWh","$0.46","actual"
"07:00PM 8th June 2025","0.63 kWh","$0.26","actual"
"08:00PM 8th June 2025","0.38 kWh","$0.18","actual"
"09:00PM 8th June 2025","0.18 kWh","$0.11","actual"
"10:00PM 8th June 2025","0.20 kWh","$0.11","actual"
"11:00PM 8th June 2025","0.20 kWh","$0.11","actual"
