"date","usage","dollars","type"
"12:00AM 21st June 2025","0.30 kWh","$0.15","actual"
"01:00AM 21st June 2025","0.16 kWh","$0.10","actual"
"02:00AM 21st June 2025","0.25 kWh","$0.13","actual"
"03:00AM 21st June 2025","0.23 kWh","$0.12","actual"
"04:00AM 21st June 2025","0.20 kWh","$0.11","actual"
"05:00AM 21st June 2025","0.22 kWh","$0.12","actual"
"06:00AM 21st June 2025","1.50 kWh","$0.57","actual"
"07:00AM 21st June 2025","0.35 kWh","$0.17","actual"
"08:00AM 21st June 2025","0.54 kWh","$0.23","actual"
"09:00AM 21st June 2025","0.49 kWh","$0.21","actual"
"10:00AM 21st June 2025","1.20 kWh","$0.46","actual"
"11:00AM 21st June 2025","1.41 kWh","$0.54","actual"
"12:00PM 21st June 2025","0.76 kWh","$0.31","actual"
"01:00PM 21st June 2025","0.75 kWh","$0.31","actual"
"02:00PM 21st June 2025","0.19 kWh","$0.11","actual"
"03:00PM 21st June 2025","0.26 kWh","$0.13","actual"
"04:00PM 21st June 2025","0.29 kWh","$0.14","actual"
"05:00PM 21st June 2025","0.30 kWh","$0.15","actual"
"06:00PM 21st June 2025","0.61 kWh","$0.26","actual"
"07:00PM 21st June 2025","0.93 kWh","$0.37","actual"
"08:00PM 21st June 2025","0.32 kWh","$0.16","actual"
"09:00PM 21st June 2025","0.32 kWh","$0.15","actual"
"10:00PM 21st June 2025","0.33 kWh","$0.16","actual"
"11:00PM 21st June 2025","0.26 kWh","$0.13","actual"
