"date","usage","dollars","type"
"12:00AM 11th June 2025","0.55 kWh","$0.23","actual"
"01:00AM 11th June 2025","0.72 kWh","$0.30","actual"
"02:00AM 11th June 2025","0.67 kWh","$0.28","actual"
"03:00AM 11th June 2025","0.66 kWh","$0.27","actual"
"04:00AM 11th June 2025","0.68 kWh","$0.28","actual"
"05:00AM 11th June 2025","1.06 kWh","$0.42","actual"
"06:00AM 11th June 2025","0.69 kWh","$0.29","actual"
"07:00AM 11th June 2025","0.63 kWh","$0.26","actual"
"08:00AM 11th June 2025","0.70 kWh","$0.29","actual"
"09:00AM 11th June 2025","0.41 kWh","$0.19","actual"
"10:00AM 11th June 2025","0.59 kWh","$0.25","actual"
"11:00AM 11th June 2025","0.60 kWh","$0.25","actual"
"12:00PM 11th June 2025","0.78 kWh","$0.32","actual"
"01:00PM 11th June 2025","0.49 kWh","$0.22","actual"
"02:00PM 11th June 2025","0.44 kWh","$0.20","actual"
"03:00PM 11th June 2025","0.74 kWh","$0.30","actual"
"04:00PM 11th June 2025","0.20 kWh","$0.11","actual"
"05:00PM 11th June 2025","0.32 kWh","$0.15","actual"
"06:00PM 11th June 2025","0.34 kWh","$0.16","actual"
"07:00PM 11th June 2025","0.36 kWh","$0.17","actual"
"08:00PM 11th June 2025","0.69 kWh","$0.28","actual"
"09:00PM 11th June 2025","0.84 kWh","$0.34","actual"
"10:00PM 11th June 2025","0.18 kWh","$0.11","actual"
"11:00PM 11th June 2025","0.33 kWh","$0.16","actual"
