"date","usage","dollars","type"
"12:00AM 10th June 2025","0.26 kWh","$0.14","actual"
"01:00AM 10th June 2025","0.19 kWh","$0.11","actual"
"02:00AM 10th June 2025","0.27 kWh","$0.14","actual"
"03:00AM 10th June 2025","0.18 kWh","$0.11","actual"
"04:00AM 10th June 2025","0.37 kWh","$0.17","actual"
"05:00AM 10th June 2025","0.49 kWh","$0.21","actual"
"06:00AM 10th June 2025","0.19 kWh","$0.11","actual"
"07:00AM 10th June 2025","0.67 kWh","$0.28","actual"
"08:00AM 10th June 2025","0.24 kWh","$0.13","actual"
"09:00AM 10th June 2025","0.18 kWh","$0.11","actual"
"10:00AM 10th June 2025","0.35 kWh","$0.17","actual"
"11:00AM 10th June 2025","0.89 kWh","$0.36","actual"
"12:00PM 10th June 2025","1.50 kWh","$0.57","actual"
"01:00PM 10th June 2025","1.35 kWh","$0.52","actual"
"02:00PM 10th June 2025","1.11 kWh","$0.43","actual"
"03:00PM 10th June 2025","1.26 kWh","$0.49","actual"
"04:00PM 10th June 2025","1.66 kWh","$0.62","actual"
"05:00PM 10th June 2025","0.74 kWh","$0.30","actual"
"06:00PM 10th June 2025","0.71 kWh","$0.29","actual"
"07:00PM 10th June 2025","0.68 kWh","$0.28","actual"
"08:00PM 10th June 2025","0.64 kWh","$0.27","actual"
"09:00PM 10th June 2025","0.87 kWh","$0.35","actual"
"10:00PM 10th June 2025","1.00 kWh","$0.40","actual"
"11:00PM 10th June 2025","0.54 kWh","$0.23","actual"
