"date","usage","dollars","type"
"12:00AM 27th May 2025","0.20 kWh","$0.11","actual"
"01:00AM 27th May 2025","0.23 kWh","$0.13","actual"
"02:00AM 27th May 2025","0.38 kWh","$0.18","actual"
"03:00AM 27th May 2025","0.15 kWh","$0.10","actual"
"04:00AM 27th May 2025","0.33 kWh","$0.16","actual"
"05:00AM 27th May 2025","0.55 kWh","$0.24","actual"
"06:00AM 27th May 2025","0.22 kWh","$0.12","actual"
"07:00AM 27th May 2025","0.66 kWh","$0.27","actual"
"08:00AM 27th May 2025","0.36 kWh","$0.17","actual"
"09:00AM 27th May 2025","0.49 kWh","$0.22","actual"
"10:00AM 27th May 2025","0.89 kWh","$0.35","actual"
"11:00AM 27th May 2025","0.32 kWh","$0.15","actual"
"12:00PM 27th May 2025","0.16 kWh","$0.10","actual"
"01:00PM 27th May 2025","0.14 kWh","$0.09","actual"
"02:00PM 27th May 2025","0.44 kWh","$0.20","actual"
"03:00PM 27th May 2025","0.47 kWh","$0.21","actual"
"04:00PM 27th May 2025","0.38 kWh","$0.18","actual"
"05:00PM 27th May 2025","1.48 kWh","$0.56","actual"
"06:00PM 27th May 2025","0.42 kWh","$0.19","actual"
"07:00PM 27th May 2025","0.37 kWh","$0.17","actual"
"08:00PM 27th May 2025","0.88 kWh","$0.35","actual"
"09:00PM 27th May 2025","0.99 kWh","$0.39","actual"
"10:00PM 27th May 2025","0.47 kWh","$0.21","actual"
"11:00PM 27th May 2025","0.42 kWh","$0.19","actual"
