"date","usage","dollars","type"
"12:00AM 6th June 2025","0.34 kWh","$0.16","actual"
"01:00AM 6th June 2025","0.18 kWh","$0.11","actual"
"02:00AM 6th June 2025","0.30 kWh","$0.15","actual"
"03:00AM 6th June 2025","0.17 kWh","$0.10","actual"
"04:00AM 6th June 2025","0.46 kWh","$0.20","actual"
"05:00AM 6th June 2025","0.39 kWh","$0.18","actual"
"06:00AM 6th June 2025","0.37 kWh","$0.17","actual"
"07:00AM 6th June 2025","0.43 kWh","$0.19","actual"
"08:00AM 6th June 2025","1.01 kWh","$0.40","actual"
"09:00AM 6th June 2025","1.14 kWh","$0.44","actual"
"10:00AM 6th June 2025","0.22 kWh","$0.12","actual"
"11:00AM 6th June 2025","0.53 kWh","$0.23","actual"
"12:00PM 6th June 2025","0.30 kWh","$0.15","actual"
"01:00PM 6th June 2025","0.75 kWh","$0.31","actual"
"02:00PM 6th June 2025","1.12 kWh","$0.44","actual"
"03:00PM 6th June 2025","1.05 kWh","$0.41","actual"
"04:00PM 6th June 2025","0.95 kWh","$0.38","actual"
"05:00PM 6th June 2025","0.81 kWh","$0.33","actual"
"06:00PM 6th June 2025","0.56 kWh","$0.24","actual"
"07:00PM 6th June 2025","0.69 kWh","$0.29","actual"
"08:00PM 6th June 2025","0.89 kWh","$0.36","actual"
"09:00PM 6th June 2025","0.19 kWh","$0.11","actual"
"10:00PM 6th June 2025","0.34 kWh","$0.16","actual"
"11:00PM 6th June 2025","0.21 kWh","$0.12","actual"
