"date","usage","dollars","type"
"12:00AM 29th May 2025","0.18 kWh","$0.11","actual"
"01:00AM 29th May 2025","0.19 kWh","$0.11","actual"
"02:00AM 29th May 2025","0.17 kWh","$0.10","actual"
"03:00AM 29th May 2025","0.19 kWh","$0.11","actual"
"04:00AM 29th May 2025","0.29 kWh","$0.14","actual"
"05:00AM 29th May 2025","0.42 kWh","$0.19","actual"
"06:00AM 29th May 2025","0.22 kWh","$0.12","actual"
"07:00AM 29th May 2025","0.32 kWh","$0.16","actual"
"08:00AM 29th May 2025","0.35 kWh","$0.17","actual"
"09:00AM 29th May 2025","1.07 kWh","$0.42","actual"
"10:00AM 29th May 2025","0.65 kWh","$0.27","actual"
"11:00AM 29th May 2025","0.68 kWh","$0.28","actual"
"12:00PM 29th May 2025","0.36 kWh","$0.17","actual"
"01:00PM 29th May 2025","0.47 kWh","$0.21","actual"
"02:00PM 29th May 2025","0.37 kWh","$0.17","actual"
"03:00PM 29th May 2025","0.35 kWh","$0.16","actual"
"04:00PM 29th May 2025","1.03 kWh","$0.40","actual"
"05:00PM 29th May 2025","1.34 kWh","$0.51","actual"
"06:00PM 29th May 2025","0.48 kWh","$0.21","actual"
"07:00PM 29th May 2025","0.28 kWh","$0.14","actual"
"08:00PM 29th May 2025","1.00 kWh","$0.40","actual"
"09:00PM 29th May 2025","0.34 kWh","$0.16","actual"
"10:00PM 29th May 2025","0.72 kWh","$0.29","actual"
"11:00PM 29th May 2025","0.28 kWh","$0.14","actual"
