"date","usage","dollars","type"
"12:00AM 7th June 2025","0.00 kWh","$0.08","actual"
"01:00AM 7th June 2025","0.00 kWh","$0.08","actual"
"02:00AM 7th June 2025","0.00 kWh","$0.08","actual"
"03:00AM 7th June 2025","0.00 kWh","$0.08","actual"
"04:00AM 7th June 2025","0.00 kWh","$0.08","actual"
"05:00AM 7th June 2025","0.00 kWh","$0.08","actual"
"06:00AM 7th June 2025","2.05 kWh","$0.45","actual"
"07:00AM 7th June 2025","1.49 kWh","$0.35","actual"
"08:00AM 7th June 2025","1.14 kWh","$0.28","actual"
"09:00AM 7th June 2025","0.00 kWh","$0.08","actual"
"10:00AM 7th June 2025","0.00 kWh","$0.08","actual"
"11:00AM 7th June 2025","0.91 kWh","$0.24","actual"
"12:00PM 7th June 2025","3.00 kWh","$0.62","actual"
"01:00PM 7th June 2025","1.55 kWh","$0.36","actual"
"02:00PM 7th June 2025","0.00 kWh","$0.08","actual"
"03:00PM 7th June 2025","0.00 kWh","$0.08","actual"
"04:00PM 7th June 2025","0.11 kWh","$0.10","actual"
"05:00PM 7th June 2025","0.03 kWh","$0.08","actual"
"06:00PM 7th June 2025","0.04 kWh","$0.08","actual"
"07:00PM 7th June 2025","0.00 kWh","$0.08","actual"
"08:00PM 7th June 2025","0.00 kWh","$0.08","actual"
"09:00PM 7th June 2025","0.00 kWh","$0.08","actual"
"10:00PM 7th June 2025","0.00 kWh","$0.08","actual"
"11:00PM 7th June 2025","0.00 kWh","$0.08","actual"
