"date","usage","dollars","type"
"12:00AM 18th June 2025","0.18 kWh","$0.11","actual"
"01:00AM 18th June 2025","0.25 kWh","$0.13","actual"
"02:00AM 18th June 2025","0.18 kWh","$0.11","actual"
"03:00AM 18th June 2025","0.16 kWh","$0.10","actual"
"04:00AM 18th June 2025","0.25 kWh","$0.13","actual"
"05:00AM 18th June 2025","0.55 kWh","$0.23","actual"
"06:00AM 18th June 2025","0.45 kWh","$0.20","actual"
"07:00AM 18th June 2025","0.29 kWh","$0.15","actual"
"08:00AM 18th June 2025","0.34 kWh","$0.16","actual"
"09:00AM 18th June 2025","0.47 kWh","$0.21","actual"
"10:00AM 18th June 2025","0.41 kWh","$0.19","actual"
"11:00AM 18th June 2025","0.19 kWh","$0.11","actual"
"12:00PM 18th June 2025","0.20 kWh","$0.11","actual"
"01:00PM 18th June 2025","0.16 kWh","$0.10","actual"
"02:00PM 18th June 2025","0.17 kWh","$0.10","actual"
"03:00PM 18th June 2025","0.35 kWh","$0.17","actual"
"04:00PM 18th June 2025","0.83 kWh","$0.33","actual"
"05:00PM 18th June 2025","0.59 kWh","$0.25","actual"
"06:00PM 18th June 2025","0.25 kWh","$0.13","actual"
"07:00PM 18th June 2025","0.45 kWh","$0.20","actual"
"08:00PM 18th June 2025","0.47 kWh","$0.21","actual"
"09:00PM 18th June 2025","0.62 kWh","$0.26","actual"
"10:00PM 18th June 2025","0.81 kWh","$0.33","actual"
"11:00PM 18th June 2025","0.19 kWh","$0.11","actual"
