"date","usage","dollars","type"
"12:00AM 6th July 2025","0.38 kWh","$0.18","actual"
"01:00AM 6th July 2025","0.39 kWh","$0.18","actual"
"02:00AM 6th July 2025","0.35 kWh","$0.16","actual"
"03:00AM 6th July 2025","0.38 kWh","$0.18","actual"
"04:00AM 6th July 2025","0.36 kWh","$0.17","actual"
"05:00AM 6th July 2025","0.95 kWh","$0.38","actual"
"06:00AM 6th July 2025","0.32 kWh","$0.16","actual"
"07:00AM 6th July 2025","0.52 kWh","$0.23","actual"
"08:00AM 6th July 2025","0.49 kWh","$0.22","actual"
"09:00AM 6th July 2025","2.83 kWh","$1.04","powerShout"
"10:00AM 6th July 2025","1.40 kWh","$0.53","actual"
"11:00AM 6th July 2025","0.27 kWh","$0.14","actual"
"12:00PM 6th July 2025","0.30 kWh","$0.15","actual"
"01:00PM 6th July 2025","0.50 kWh","$0.22","actual"
"02:00PM 6th July 2025","0.25 kWh","$0.13","actual"
"03:00PM 6th July 2025","0.38 kWh","$0.18","actual"
"04:00PM 6th July 2025","3.01 kWh","$1.10","powerShout"
"05:00PM 6th July 2025","2.04 kWh","$0.76","powerShout"
"06:00PM 6th July 2025","0.52 kWh","$0.23","actual"
"07:00PM 6th July 2025","0.37 kWh","$0.17","actual"
"08:00PM 6th July 2025","0.48 kWh","$0.21","actual"
"09:00PM 6th July 2025","0.30 kWh","$0.15","actual"
"10:00PM 6th July 2025","0.29 kWh","$0.14","actual"
"11:00PM 6th July 2025","0.35 kWh","$0.17","actual"
