"date","usage","dollars","type"
"12:00AM 26th May 2025","0.62 kWh","$0.26","actual"
"01:00AM 26th May 2025","0.17 kWh","$0.10","actual"
"02:00AM 26th May 2025","0.51 kWh","$0.22","actual"
"03:00AM 26th May 2025","0.59 kWh","$0.25","actual"
"04:00AM 26th May 2025","0.50 kWh","$0.22","actual"
"05:00AM 26th May 2025","0.84 kWh","$0.34","actual"
"06:00AM 26th May 2025","0.70 kWh","$0.29","actual"
"07:00AM 26th May 2025","0.28 kWh","$0.14","actual"
"08:00AM 26th May 2025","0.25 kWh","$0.13","actual"
"09:00AM 26th May 2025","0.52 kWh","$0.23","actual"
"10:00AM 26th May 2025","0.45 kWh","$0.20","actual"
"11:00AM 26th May 2025","0.53 kWh","$0.23","actual"
"12:00PM 26th May 2025","0.49 kWh","$0.22","actual"
"01:00PM 26th May 2025","0.54 kWh","$0.23","actual"
"02:00PM 26th May 2025","0.70 kWh","$0.29","actual"
"03:00PM 26th May 2025","0.70 kWh","$0.29","actual"
"04:00PM 26th May 2025","1.55 kWh","$0.59","actual"
"05:00PM 26th May 2025","1.10 kWh","$0.43","actual"
"06:00PM 26th May 2025","0.76 kWh","$0.31","actual"
"07:00PM 26th May 2025","0.76 kWh","$0.31","actual"
"08:00PM 26th May 2025","0.93 kWh","$0.37","actual"
"09:00PM 26th May 2025","0.19 kWh","$0.11","actual"
"10:00PM 26th May 2025","0.24 kWh","$0.13","actual"
"11:00PM 26th May 2025","0.26 kWh","$0.13","actual"
