"date","usage","dollars","type"
"12:00AM 3rd June 2025","0.29 kWh","$0.14","actual"
"01:00AM 3rd June 2025","0.30 kWh","$0.15","actual"
"02:00AM 3rd June 2025","0.32 kWh","$0.16","actual"
"03:00AM 3rd June 2025","0.32 kWh","$0.15","actual"
"04:00AM 3rd June 2025","0.45 kWh","$0.20","actual"
"05:00AM 3rd June 2025","0.74 kWh","$0.30","actual"
"06:00AM 3rd June 2025","0.39 kWh","$0.18","actual"
"07:00AM 3rd June 2025","0.62 kWh","$0.26","actual"
"08:00AM 3rd June 2025","0.16 kWh","$0.10","actual"
"09:00AM 3rd June 2025","0.40 kWh","$0.19","actual"
"10:00AM 3rd June 2025","0.47 kWh","$0.21","actual"
"11:00AM 3rd June 2025","0.81 kWh","$0.33","actual"
"12:00PM 3rd June 2025","0.57 kWh","$0.24","actual"
"01:00PM 3rd June 2025","0.80 kWh","$0.33","actual"
"02:00PM 3rd June 2025","0.47 kWh","$0.21","actual"
"03:00PM 3rd June 2025","0.99 kWh","$0.39","actual"
"04:00PM 3rd June 2025","1.54 kWh","$0.58","actual"
"05:00PM 3rd June 2025","1.30 kWh","$0.50","actual"
"06:00PM 3rd June 2025","0.92 kWh","$0.37","actual"
"07:00PM 3rd June 2025","0.34 kWh","$0.16","actual"
"08:00PM 3rd June 2025","0.63 kWh","$0.26","actual"
"09:00PM 3rd June 2025","0.41 kWh","$0.19","actual"
"10:00PM 3rd June 2025","0.81 kWh","$0.33","actual"
"11:00PM 3rd June 2025","0.20 kWh","$0.11","actual"
