"date","usage","dollars","type"
"12:00AM 27th June 2025","0.60 kWh","$0.25","actual"
"01:00AM 27th June 2025","0.55 kWh","$0.24","actual"
"02:00AM 27th June 2025","0.19 kWh","$0.11","actual"
"03:00AM 27th June 2025","0.23 kWh","$0.12","actual"
"04:00AM 27th June 2025","0.16 kWh","$0.10","actual"
"05:00AM 27th June 2025","0.51 kWh","$0.22","actual"
"06:00AM 27th June 2025","0.20 kWh","$0.11","actual"
"07:00AM 27th June 2025","0.32 kWh","$0.16","actual"
"08:00AM 27th June 2025","0.60 kWh","$0.25","actual"
"09:00AM 27th June 2025","1.08 kWh","$0.42","actual"
"10:00AM 27th June 2025","1.05 kWh","$0.41","actual"
"11:00AM 27th June 2025","0.65 kWh","$0.27","actual"
"12:00PM 27th June 2025","0.99 kWh","$0.39","actual"
"01:00PM 27th June 2025","0.95 kWh","$0.38","actual"
"02:00PM 27th June 2025","0.65 kWh","$0.27","actual"
"03:00PM 27th June 2025","0.45 kWh","$0.20","actual"
"04:00PM 27th June 2025","0.40 kWh","$0.18","actual"
"05:00PM 27th June 2025","0.61 kWh","$0.26","actual"
"06:00PM 27th June 2025","0.45 kWh","$0.20","actual"
"07:00PM 27th June 2025","0.56 kWh","$0.24","actual"
"08:00PM 27th June 2025","1.05 kWh","$0.41","actual"
"09:00PM 27th June 2025","1.04 kWh","$0.41","actual"
"10:00PM 27th June 2025","0.68 kWh","$0.28","actual"
"11:00PM 27th June 2025","0.42 kWh","$0.19","actual"
